frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
30.08,0.93,-2.71,0.96,-2.67,2.67,2.54,3.08,3.60,3.63,3.64
30.38,1.00,-2.63,1.02,-2.60,2.60,2.47,3.10,3.60,3.63,3.63
30.68,1.07,-2.56,1.08,-2.54,2.54,2.40,3.12,3.61,3.62,3.63
30.99,1.14,-2.48,1.14,-2.48,2.48,2.33,3.14,3.62,3.62,3.62
31.30,1.21,-2.41,1.20,-2.42,2.42,2.26,3.15,3.63,3.61,3.61
31.61,1.28,-2.33,1.26,-2.35,2.35,2.20,3.16,3.63,3.61,3.61
31.93,1.35,-2.25,1.33,-2.28,2.28,2.13,3.16,3.63,3.60,3.60
32.24,1.42,-2.17,1.39,-2.21,2.21,2.07,3.16,3.63,3.60,3.59
32.57,1.49,-2.10,1.45,-2.15,2.15,2.01,3.15,3.64,3.59,3.59
32.89,1.56,-2.02,1.50,-2.08,2.08,1.95,3.14,3.64,3.59,3.58
33.22,1.58,-2.00,1.56,-2.02,2.02,1.90,3.13,3.60,3.58,3.58
33.55,1.59,-1.99,1.62,-1.96,1.96,1.84,3.11,3.55,3.58,3.58
33.89,1.60,-1.98,1.67,-1.91,1.91,1.79,3.09,3.51,3.57,3.58
34.23,1.65,-1.92,1.72,-1.85,1.85,1.73,3.07,3.50,3.57,3.57
34.57,1.73,-1.83,1.77,-1.80,1.80,1.68,3.04,3.53,3.56,3.56
34.92,1.80,-1.76,1.82,-1.74,1.74,1.63,3.02,3.54,3.56,3.56
35.27,1.88,-1.68,1.87,-1.68,1.68,1.58,2.99,3.56,3.55,3.56
35.62,1.96,-1.58,1.92,-1.62,1.62,1.53,2.95,3.58,3.55,3.54
35.97,2.03,-1.51,1.98,-1.57,1.57,1.49,2.92,3.60,3.54,3.54
36.33,2.04,-1.50,2.03,-1.51,1.51,1.44,2.89,3.55,3.53,3.54
36.70,2.05,-1.48,2.07,-1.45,1.45,1.40,2.85,3.50,3.53,3.53
37.06,2.06,-1.46,2.12,-1.40,1.40,1.36,2.82,3.46,3.52,3.52
37.43,2.15,-1.36,2.16,-1.35,1.35,1.32,2.78,3.50,3.51,3.51
37.81,2.24,-1.27,2.20,-1.31,1.31,1.28,2.75,3.55,3.51,3.51
38.19,2.28,-1.22,2.23,-1.27,1.27,1.24,2.71,3.55,3.50,3.50
38.57,2.28,-1.21,2.25,-1.25,1.25,1.20,2.68,3.53,3.49,3.49
38.95,2.28,-1.21,2.26,-1.23,1.23,1.16,2.64,3.51,3.49,3.49
39.34,2.28,-1.19,2.27,-1.21,1.21,1.13,2.61,3.49,3.48,3.47
39.74,2.28,-1.18,2.28,-1.20,1.20,1.09,2.58,3.48,3.47,3.46
40.14,2.28,-1.18,2.28,-1.19,1.19,1.06,2.55,3.47,3.47,3.46
40.54,2.28,-1.18,2.28,-1.18,1.18,1.03,2.52,3.46,3.46,3.46
40.94,2.28,-1.17,2.28,-1.16,1.16,1.00,2.49,3.44,3.44,3.45
41.35,2.28,-1.16,2.28,-1.15,1.15,0.97,2.46,3.43,3.43,3.44
41.76,2.28,-1.14,2.28,-1.13,1.13,0.94,2.44,3.41,3.41,3.42
42.18,2.28,-1.12,2.28,-1.11,1.11,0.91,2.41,3.39,3.39,3.40
42.60,2.28,-1.10,2.29,-1.08,1.08,0.88,2.39,3.36,3.37,3.38
43.03,2.28,-1.08,2.31,-1.03,1.03,0.86,2.37,3.31,3.34,3.36
43.46,2.28,-1.05,2.34,-0.98,0.98,0.83,2.35,3.26,3.32,3.33
43.90,2.28,-1.01,2.37,-0.92,0.92,0.81,2.34,3.20,3.29,3.29
44.33,2.36,-0.90,2.41,-0.86,0.86,0.79,2.32,3.22,3.26,3.26
44.78,2.46,-0.76,2.44,-0.79,0.79,0.76,2.31,3.25,3.24,3.22
45.23,2.51,-0.69,2.49,-0.72,0.72,0.74,2.30,3.23,3.21,3.20
45.68,2.51,-0.66,2.53,-0.66,0.66,0.73,2.29,3.17,3.19,3.17
46.13,2.54,-0.61,2.57,-0.59,0.59,0.71,2.29,3.14,3.16,3.15
46.60,2.65,-0.49,2.61,-0.54,0.54,0.69,2.28,3.18,3.15,3.14
47.06,2.74,-0.38,2.65,-0.48,0.48,0.68,2.28,3.22,3.13,3.12
47.53,2.74,-0.37,2.68,-0.44,0.44,0.66,2.27,3.18,3.12,3.11
48.01,2.74,-0.37,2.71,-0.40,0.40,0.65,2.27,3.14,3.11,3.11
48.49,2.74,-0.36,2.73,-0.37,0.37,0.64,2.28,3.11,3.10,3.10
48.97,2.74,-0.35,2.74,-0.36,0.36,0.63,2.28,3.10,3.10,3.09
49.46,2.74,-0.34,2.75,-0.34,0.34,0.62,2.28,3.08,3.10,3.08
49.96,2.74,-0.34,2.76,-0.33,0.33,0.62,2.29,3.07,3.09,3.08
50.46,2.74,-0.35,2.78,-0.31,0.31,0.61,2.29,3.05,3.09,3.09
50.96,2.74,-0.35,2.79,-0.29,0.29,0.61,2.30,3.03,3.08,3.09
51.47,2.74,-0.34,2.78,-0.28,0.28,0.61,2.30,3.02,3.07,3.08
51.99,2.74,-0.33,2.77,-0.29,0.29,0.62,2.31,3.03,3.05,3.07
52.51,2.74,-0.31,2.75,-0.28,0.28,0.62,2.32,3.02,3.03,3.05
53.03,2.74,-0.29,2.74,-0.27,0.27,0.63,2.33,3.01,3.01,3.03
53.56,2.74,-0.26,2.72,-0.26,0.26,0.64,2.33,3.00,2.98,3.00
54.10,2.74,-0.21,2.69,-0.25,0.25,0.66,2.34,2.99,2.94,2.95
54.64,2.74,-0.17,2.66,-0.25,0.25,0.67,2.35,2.99,2.90,2.91
55.18,2.70,-0.16,2.61,-0.25,0.25,0.70,2.35,2.95,2.86,2.86
55.74,2.57,-0.23,2.56,-0.25,0.25,0.72,2.36,2.82,2.81,2.80
56.29,2.44,-0.32,2.50,-0.25,0.25,0.75,2.36,2.69,2.75,2.76
56.86,2.31,-0.39,2.44,-0.26,0.26,0.79,2.36,2.57,2.70,2.70
57.42,2.28,-0.35,2.36,-0.28,0.28,0.83,2.36,2.56,2.64,2.63
58.00,2.28,-0.29,2.27,-0.31,0.31,0.88,2.35,2.59,2.58,2.57
58.58,2.15,-0.36,2.16,-0.36,0.36,0.94,2.35,2.51,2.51,2.51
59.16,2.01,-0.45,2.04,-0.42,0.42,1.00,2.34,2.43,2.45,2.46
59.76,1.88,-0.52,1.90,-0.49,0.49,1.07,2.32,2.37,2.39,2.40
60.35,1.75,-0.58,1.76,-0.57,0.57,1.15,2.31,2.32,2.33,2.33
60.96,1.61,-0.67,1.59,-0.68,0.68,1.24,2.29,2.29,2.27,2.28
61.57,1.47,-0.73,1.38,-0.83,0.83,1.35,2.27,2.30,2.21,2.20
62.18,1.27,-0.87,1.15,-1.00,1.00,1.47,2.24,2.27,2.15,2.14
62.80,0.93,-1.17,0.89,-1.21,1.21,1.60,2.21,2.14,2.10,2.09
63.43,0.62,-1.42,0.60,-1.45,1.45,1.75,2.18,2.07,2.05,2.04
64.07,0.33,-1.66,0.27,-1.73,1.73,1.91,2.14,2.06,2.00,1.99
64.71,0.06,-1.89,-0.08,-2.03,2.03,2.10,2.10,2.09,1.95,1.95
65.35,-0.29,-2.19,-0.45,-2.36,2.36,2.30,2.06,2.06,1.91,1.90
66.01,-0.69,-2.55,-0.84,-2.70,2.70,2.53,2.01,2.02,1.87,1.86
66.67,-1.21,-3.03,-1.24,-3.07,3.07,2.77,1.96,1.86,1.83,1.82
67.33,-1.72,-3.52,-1.66,-3.45,3.45,3.04,1.90,1.73,1.79,1.79
68.01,-2.20,-3.96,-2.07,-3.83,3.83,3.34,1.84,1.63,1.76,1.76
68.69,-2.44,-4.17,-2.46,-4.19,4.19,3.64,1.78,1.76,1.73,1.73
69.37,-2.76,-4.46,-2.83,-4.53,4.53,3.96,1.72,1.77,1.70,1.70
70.07,-3.14,-4.81,-3.15,-4.82,4.82,4.28,1.65,1.68,1.67,1.67
70.77,-3.47,-5.12,-3.43,-5.07,5.07,4.59,1.59,1.60,1.64,1.65
71.48,-3.72,-5.34,-3.64,-5.25,5.25,4.87,1.52,1.53,1.61,1.62
72.19,-3.92,-5.51,-3.78,-5.37,5.37,5.10,1.44,1.44,1.58,1.59
72.91,-4.08,-5.64,-3.85,-5.40,5.40,5.27,1.37,1.32,1.55,1.56
73.64,-4.10,-5.63,-3.85,-5.37,5.37,5.34,1.29,1.27,1.52,1.53
74.38,-4.04,-5.54,-3.77,-5.26,5.26,5.32,1.22,1.22,1.49,1.50
75.12,-3.88,-5.34,-3.64,-5.11,5.11,5.19,1.14,1.23,1.46,1.46
75.87,-3.60,-5.03,-3.47,-4.90,4.90,4.98,1.06,1.30,1.43,1.43
76.63,-3.28,-4.68,-3.25,-4.65,4.65,4.69,0.98,1.37,1.41,1.40
77.40,-2.90,-4.28,-2.98,-4.36,4.36,4.36,0.90,1.46,1.38,1.38
78.17,-2.49,-3.84,-2.68,-4.04,4.04,3.99,0.82,1.55,1.36,1.35
78.95,-2.16,-3.49,-2.37,-3.71,3.71,3.61,0.73,1.55,1.34,1.33
79.74,-1.87,-3.19,-2.05,-3.37,3.37,3.23,0.65,1.50,1.32,1.32
80.54,-1.60,-2.89,-1.73,-3.03,3.03,2.86,0.57,1.43,1.30,1.29
81.35,-1.34,-2.62,-1.41,-2.70,2.70,2.50,0.48,1.36,1.29,1.28
82.16,-1.08,-2.35,-1.11,-2.39,2.39,2.17,0.40,1.31,1.28,1.27
82.98,-0.82,-2.09,-0.83,-2.10,2.10,1.86,0.32,1.28,1.28,1.28
83.81,-0.55,-1.82,-0.57,-1.84,1.84,1.57,0.23,1.30,1.27,1.27
84.65,-0.32,-1.58,-0.34,-1.61,1.61,1.30,0.15,1.29,1.27,1.26
85.50,-0.17,-1.44,-0.13,-1.40,1.40,1.05,0.06,1.23,1.27,1.27
86.35,0.01,-1.26,0.07,-1.20,1.20,0.82,-0.02,1.21,1.27,1.27
87.22,0.26,-1.01,0.27,-1.00,1.00,0.61,-0.11,1.26,1.27,1.27
88.09,0.52,-0.75,0.46,-0.81,0.81,0.42,-0.20,1.33,1.27,1.27
88.97,0.67,-0.61,0.64,-0.63,0.63,0.24,-0.28,1.30,1.27,1.28
89.86,0.84,-0.44,0.82,-0.46,0.46,0.07,-0.37,1.30,1.27,1.28
90.76,0.92,-0.35,0.98,-0.29,0.29,-0.08,-0.46,1.21,1.27,1.27
91.66,1.07,-0.20,1.14,-0.13,0.13,-0.23,-0.54,1.20,1.26,1.27
92.58,1.22,-0.03,1.27,0.02,-0.02,-0.36,-0.63,1.20,1.26,1.25
93.51,1.42,0.16,1.40,0.16,-0.16,-0.49,-0.72,1.26,1.25,1.25
94.44,1.58,0.34,1.52,0.29,-0.29,-0.61,-0.81,1.29,1.23,1.24
95.39,1.69,0.47,1.64,0.42,-0.42,-0.72,-0.89,1.27,1.22,1.22
96.34,1.82,0.63,1.74,0.54,-0.54,-0.82,-0.98,1.28,1.20,1.19
97.30,1.82,0.65,1.83,0.65,-0.65,-0.92,-1.07,1.17,1.18,1.17
98.28,1.87,0.73,1.91,0.76,-0.76,-1.02,-1.15,1.11,1.15,1.14
99.26,2.02,0.90,1.99,0.87,-0.87,-1.10,-1.24,1.15,1.12,1.12
100.25,2.05,0.96,2.05,0.97,-0.97,-1.19,-1.33,1.08,1.09,1.09
101.25,2.05,1.00,2.11,1.06,-1.06,-1.27,-1.41,0.99,1.05,1.05
102.27,2.08,1.07,2.16,1.15,-1.15,-1.35,-1.50,0.93,1.01,1.01
103.29,2.20,1.23,2.19,1.23,-1.23,-1.42,-1.58,0.97,0.97,0.97
104.32,2.28,1.35,2.22,1.31,-1.31,-1.49,-1.66,0.97,0.92,0.93
105.37,2.28,1.40,2.25,1.39,-1.39,-1.56,-1.75,0.89,0.86,0.88
106.42,2.28,1.46,2.27,1.47,-1.47,-1.62,-1.82,0.81,0.81,0.82
107.48,2.28,1.52,2.29,1.54,-1.54,-1.69,-1.90,0.74,0.74,0.76
108.56,2.28,1.60,2.29,1.62,-1.62,-1.75,-1.98,0.66,0.68,0.68
109.64,2.28,1.67,2.29,1.68,-1.68,-1.81,-2.05,0.60,0.61,0.61
110.74,2.28,1.74,2.27,1.74,-1.74,-1.86,-2.12,0.54,0.54,0.54
111.85,2.28,1.80,2.26,1.80,-1.80,-1.92,-2.19,0.48,0.46,0.48
112.97,2.28,1.89,2.24,1.85,-1.85,-1.97,-2.25,0.43,0.39,0.39
114.10,2.28,1.96,2.21,1.89,-1.89,-2.02,-2.31,0.39,0.32,0.32
115.24,2.25,2.00,2.17,1.92,-1.92,-2.07,-2.36,0.33,0.25,0.25
116.39,2.12,1.95,2.14,1.96,-1.96,-2.12,-2.42,0.16,0.18,0.17
117.55,2.05,1.95,2.12,2.00,-2.00,-2.16,-2.46,0.05,0.12,0.10
118.73,2.05,2.01,2.10,2.04,-2.04,-2.21,-2.50,0.01,0.06,0.04
119.92,2.05,2.06,2.09,2.08,-2.08,-2.25,-2.54,-0.03,0.01,-0.01
121.12,2.05,2.11,2.08,2.13,-2.13,-2.29,-2.57,-0.08,-0.04,-0.06
122.33,2.05,2.15,2.08,2.17,-2.17,-2.33,-2.59,-0.12,-0.09,-0.10
123.55,2.05,2.18,2.09,2.22,-2.22,-2.37,-2.61,-0.17,-0.13,-0.13
124.79,2.05,2.22,2.10,2.27,-2.27,-2.40,-2.62,-0.22,-0.17,-0.17
126.03,2.05,2.25,2.12,2.32,-2.32,-2.44,-2.62,-0.27,-0.21,-0.20
127.29,2.12,2.35,2.14,2.38,-2.38,-2.47,-2.62,-0.26,-0.24,-0.23
128.57,2.23,2.50,2.17,2.44,-2.44,-2.50,-2.62,-0.21,-0.27,-0.27
129.85,2.28,2.58,2.20,2.50,-2.50,-2.53,-2.61,-0.22,-0.31,-0.30
131.15,2.28,2.61,2.22,2.56,-2.56,-2.56,-2.59,-0.28,-0.34,-0.33
132.46,2.28,2.65,2.24,2.61,-2.61,-2.58,-2.56,-0.33,-0.37,-0.37
133.79,2.28,2.68,2.27,2.67,-2.67,-2.61,-2.54,-0.39,-0.40,-0.40
135.12,2.28,2.72,2.29,2.73,-2.73,-2.63,-2.50,-0.45,-0.44,-0.44
136.48,2.28,2.75,2.30,2.77,-2.77,-2.65,-2.47,-0.49,-0.47,-0.47
137.84,2.28,2.78,2.32,2.82,-2.82,-2.67,-2.42,-0.54,-0.51,-0.50
139.22,2.28,2.84,2.32,2.86,-2.86,-2.69,-2.38,-0.58,-0.54,-0.56
140.61,2.28,2.88,2.32,2.90,-2.90,-2.71,-2.33,-0.62,-0.58,-0.60
142.02,2.28,2.90,2.31,2.93,-2.93,-2.72,-2.28,-0.65,-0.62,-0.62
143.44,2.28,2.95,2.29,2.96,-2.96,-2.73,-2.22,-0.68,-0.67,-0.67
144.87,2.28,2.99,2.27,2.99,-2.99,-2.74,-2.16,-0.71,-0.72,-0.71
146.32,2.28,3.04,2.24,3.01,-3.01,-2.75,-2.10,-0.73,-0.77,-0.76
147.78,2.23,3.03,2.20,3.03,-3.03,-2.76,-2.04,-0.80,-0.83,-0.80
149.26,2.11,2.98,2.13,3.03,-3.03,-2.76,-1.98,-0.92,-0.90,-0.87
150.75,2.05,2.99,2.04,3.00,-3.00,-2.76,-1.91,-0.95,-0.96,-0.94
152.26,2.04,3.05,1.91,2.95,-2.95,-2.76,-1.85,-0.91,-1.03,-1.01
153.78,1.90,2.99,1.77,2.88,-2.88,-2.76,-1.78,-0.98,-1.10,-1.09
155.32,1.78,2.96,1.62,2.79,-2.79,-2.76,-1.72,-1.01,-1.17,-1.18
156.88,1.60,2.85,1.47,2.72,-2.72,-2.75,-1.65,-1.11,-1.25,-1.25
158.44,1.43,2.76,1.33,2.64,-2.64,-2.74,-1.58,-1.21,-1.31,-1.33
160.03,1.31,2.71,1.20,2.58,-2.58,-2.73,-1.52,-1.27,-1.38,-1.40
161.63,1.04,2.50,1.09,2.53,-2.53,-2.72,-1.45,-1.49,-1.44,-1.46
163.24,0.78,2.29,1.01,2.50,-2.50,-2.70,-1.38,-1.72,-1.49,-1.51
164.88,0.52,2.07,0.94,2.48,-2.48,-2.68,-1.32,-1.96,-1.53,-1.55
166.53,0.50,2.09,0.89,2.46,-2.46,-2.66,-1.25,-1.96,-1.57,-1.59
168.19,0.61,2.23,0.86,2.46,-2.46,-2.64,-1.19,-1.85,-1.60,-1.62
169.87,0.74,2.38,0.86,2.47,-2.47,-2.61,-1.12,-1.73,-1.61,-1.64
171.57,0.88,2.52,0.86,2.49,-2.49,-2.58,-1.06,-1.61,-1.63,-1.64
173.29,1.05,2.69,0.87,2.51,-2.51,-2.55,-1.00,-1.46,-1.63,-1.64
175.02,1.14,2.77,0.89,2.53,-2.53,-2.52,-0.93,-1.39,-1.64,-1.63
176.77,1.14,2.77,0.91,2.55,-2.55,-2.49,-0.87,-1.41,-1.64,-1.63
178.54,1.14,2.76,0.94,2.57,-2.57,-2.45,-0.81,-1.43,-1.64,-1.62
180.32,1.06,2.68,0.96,2.60,-2.60,-2.41,-0.75,-1.54,-1.64,-1.62
182.13,0.96,2.57,0.96,2.60,-2.60,-2.36,-0.69,-1.64,-1.64,-1.61
183.95,0.91,2.52,0.93,2.57,-2.57,-2.32,-0.63,-1.66,-1.64,-1.61
185.79,0.91,2.53,0.87,2.52,-2.52,-2.27,-0.58,-1.61,-1.64,-1.62
187.65,0.75,2.39,0.78,2.43,-2.43,-2.22,-0.52,-1.68,-1.65,-1.64
189.52,0.52,2.18,0.67,2.34,-2.34,-2.17,-0.46,-1.82,-1.66,-1.66
191.42,0.46,2.14,0.55,2.23,-2.23,-2.12,-0.41,-1.77,-1.68,-1.68
193.33,0.46,2.16,0.42,2.11,-2.11,-2.06,-0.35,-1.65,-1.69,-1.70
195.27,0.35,2.06,0.29,2.00,-2.00,-2.00,-0.30,-1.65,-1.71,-1.71
197.22,0.25,1.98,0.16,1.89,-1.89,-1.94,-0.24,-1.64,-1.73,-1.73
199.19,0.09,1.85,0.03,1.78,-1.78,-1.87,-0.19,-1.69,-1.75,-1.76
201.18,-0.14,1.63,-0.10,1.66,-1.66,-1.81,-0.14,-1.80,-1.77,-1.77
203.19,-0.27,1.51,-0.24,1.54,-1.54,-1.74,-0.09,-1.81,-1.79,-1.78
205.23,-0.40,1.41,-0.38,1.43,-1.43,-1.67,-0.04,-1.83,-1.80,-1.81
207.28,-0.54,1.27,-0.51,1.31,-1.31,-1.59,0.01,-1.85,-1.82,-1.81
209.35,-0.65,1.19,-0.63,1.21,-1.21,-1.52,0.06,-1.86,-1.84,-1.84
211.44,-0.81,1.05,-0.74,1.11,-1.11,-1.44,0.11,-1.92,-1.85,-1.86
213.56,-0.90,0.97,-0.87,1.00,-1.00,-1.36,0.15,-1.90,-1.87,-1.87
215.69,-0.91,0.96,-0.99,0.89,-0.89,-1.28,0.20,-1.80,-1.88,-1.87
217.85,-1.12,0.77,-1.09,0.80,-0.80,-1.19,0.24,-1.92,-1.89,-1.89
220.03,-1.23,0.67,-1.19,0.71,-0.71,-1.10,0.29,-1.94,-1.90,-1.90
222.23,-1.33,0.59,-1.28,0.63,-0.63,-1.01,0.33,-1.96,-1.91,-1.92
224.45,-1.37,0.56,-1.36,0.57,-0.57,-0.92,0.37,-1.94,-1.92,-1.93
226.70,-1.37,0.56,-1.44,0.49,-0.49,-0.83,0.41,-1.86,-1.93,-1.93
228.96,-1.52,0.42,-1.52,0.42,-0.42,-0.73,0.44,-1.94,-1.94,-1.94
231.25,-1.58,0.36,-1.60,0.35,-0.35,-0.63,0.48,-1.93,-1.94,-1.94
233.57,-1.63,0.32,-1.66,0.28,-0.28,-0.53,0.51,-1.91,-1.94,-1.95
235.90,-1.81,0.14,-1.73,0.22,-0.22,-0.43,0.55,-2.03,-1.95,-1.95
238.26,-1.82,0.13,-1.80,0.15,-0.15,-0.33,0.58,-1.97,-1.95,-1.95
240.64,-1.82,0.13,-1.87,0.07,-0.07,-0.22,0.61,-1.89,-1.95,-1.95
243.05,-1.98,-0.04,-1.95,-0.01,0.01,-0.11,0.64,-1.97,-1.94,-1.94
245.48,-2.05,-0.11,-2.04,-0.10,0.10,-0.00,0.66,-1.95,-1.94,-1.94
247.93,-2.05,-0.12,-2.12,-0.18,0.18,0.11,0.69,-1.87,-1.93,-1.93
250.41,-2.24,-0.31,-2.21,-0.28,0.28,0.22,0.71,-1.96,-1.93,-1.93
252.92,-2.28,-0.36,-2.30,-0.38,0.38,0.33,0.73,-1.90,-1.92,-1.92
255.45,-2.28,-0.38,-2.39,-0.48,0.48,0.45,0.75,-1.80,-1.91,-1.90
258.00,-2.42,-0.53,-2.49,-0.59,0.59,0.57,0.77,-1.83,-1.90,-1.89
260.58,-2.65,-0.76,-2.60,-0.71,0.71,0.68,0.78,-1.94,-1.89,-1.89
263.19,-2.74,-0.86,-2.70,-0.83,0.83,0.80,0.79,-1.91,-1.88,-1.88
265.82,-2.94,-1.07,-2.81,-0.95,0.95,0.92,0.81,-1.99,-1.86,-1.87
268.48,-2.96,-1.11,-2.93,-1.08,1.08,1.04,0.82,-1.88,-1.85,-1.85
271.16,-2.96,-1.13,-3.05,-1.22,1.22,1.16,0.83,-1.74,-1.83,-1.83
273.87,-3.05,-1.23,-3.17,-1.36,1.36,1.28,0.84,-1.69,-1.81,-1.82
276.61,-3.30,-1.52,-3.29,-1.51,1.51,1.40,0.85,-1.79,-1.79,-1.78
279.38,-3.40,-1.63,-3.40,-1.63,1.63,1.52,0.85,-1.77,-1.76,-1.77
282.17,-3.59,-1.85,-3.51,-1.77,1.77,1.64,0.86,-1.82,-1.74,-1.74
284.99,-3.65,-1.93,-3.61,-1.90,1.90,1.76,0.87,-1.75,-1.72,-1.72
287.84,-3.65,-1.96,-3.70,-2.01,2.01,1.88,0.87,-1.64,-1.69,-1.69
290.72,-3.72,-2.06,-3.78,-2.12,2.12,1.99,0.88,-1.60,-1.66,-1.66
293.63,-3.97,-2.34,-3.88,-2.24,2.24,2.10,0.88,-1.73,-1.63,-1.63
296.57,-4.09,-2.48,-3.97,-2.36,2.36,2.21,0.88,-1.73,-1.61,-1.61
299.53,-4.10,-2.52,-4.06,-2.48,2.48,2.31,0.89,-1.62,-1.58,-1.58
302.53,-4.10,-2.54,-4.14,-2.58,2.58,2.41,0.89,-1.52,-1.56,-1.56
305.55,-4.10,-2.57,-4.21,-2.67,2.67,2.51,0.90,-1.43,-1.54,-1.53
308.61,-4.16,-2.65,-4.27,-2.74,2.74,2.60,0.90,-1.42,-1.52,-1.51
311.69,-4.31,-2.82,-4.32,-2.82,2.82,2.69,0.91,-1.49,-1.51,-1.49
314.81,-4.33,-2.86,-4.37,-2.88,2.88,2.77,0.91,-1.45,-1.49,-1.47
317.96,-4.47,-3.00,-4.42,-2.94,2.94,2.84,0.92,-1.53,-1.48,-1.47
321.14,-4.56,-3.09,-4.47,-3.00,3.00,2.91,0.92,-1.56,-1.47,-1.47
324.35,-4.56,-3.10,-4.50,-3.04,3.04,2.97,0.93,-1.52,-1.46,-1.46
327.59,-4.56,-3.10,-4.51,-3.06,3.06,3.02,0.94,-1.50,-1.45,-1.46
330.87,-4.56,-3.11,-4.54,-3.10,3.10,3.07,0.95,-1.46,-1.44,-1.45
334.18,-4.56,-3.12,-4.57,-3.14,3.14,3.10,0.95,-1.42,-1.43,-1.44
337.52,-4.56,-3.13,-4.60,-3.18,3.18,3.13,0.96,-1.38,-1.42,-1.43
340.90,-4.56,-3.15,-4.61,-3.21,3.21,3.16,0.97,-1.35,-1.40,-1.41
344.30,-4.56,-3.16,-4.61,-3.22,3.22,3.17,0.99,-1.34,-1.39,-1.40
