frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
135.12,2.28,1.97,2.29,1.98,-1.98,-1.82,-1.63,0.30,0.31,0.31
136.48,2.28,2.02,2.30,2.05,-2.05,-1.87,-1.61,0.23,0.26,0.26
137.84,2.28,2.08,2.32,2.12,-2.12,-1.92,-1.59,0.16,0.20,0.20
139.22,2.28,2.15,2.32,2.18,-2.18,-1.97,-1.56,0.10,0.14,0.13
140.61,2.28,2.22,2.32,2.24,-2.24,-2.02,-1.53,0.04,0.08,0.06
142.02,2.28,2.26,2.31,2.29,-2.29,-2.06,-1.50,-0.01,0.02,0.02
143.44,2.28,2.32,2.29,2.33,-2.33,-2.10,-1.46,-0.05,-0.05,-0.04
144.87,2.28,2.39,2.27,2.38,-2.38,-2.14,-1.42,-0.10,-0.12,-0.11
146.32,2.28,2.45,2.24,2.43,-2.43,-2.18,-1.38,-0.15,-0.19,-0.17
147.78,2.23,2.46,2.20,2.47,-2.47,-2.21,-1.34,-0.24,-0.27,-0.23
149.26,2.11,2.43,2.13,2.49,-2.49,-2.24,-1.30,-0.38,-0.35,-0.32
150.75,2.05,2.47,2.04,2.47,-2.47,-2.27,-1.25,-0.42,-0.44,-0.42
152.26,2.04,2.54,1.91,2.44,-2.44,-2.29,-1.21,-0.40,-0.53,-0.50
153.78,1.90,2.50,1.77,2.39,-2.39,-2.32,-1.16,-0.49,-0.61,-0.60
155.32,1.78,2.49,1.62,2.32,-2.32,-2.33,-1.12,-0.54,-0.70,-0.71
156.88,1.60,2.40,1.47,2.26,-2.26,-2.35,-1.07,-0.66,-0.79,-0.80
158.44,1.43,2.32,1.33,2.21,-2.21,-2.36,-1.02,-0.78,-0.88,-0.89
160.03,1.31,2.29,1.20,2.16,-2.16,-2.36,-0.97,-0.85,-0.96,-0.98
161.63,1.04,2.10,1.09,2.13,-2.13,-2.37,-0.93,-1.09,-1.04,-1.06
163.24,0.78,1.91,1.01,2.11,-2.11,-2.37,-0.88,-1.33,-1.10,-1.13
164.88,0.52,1.70,0.94,2.11,-2.11,-2.36,-0.83,-1.59,-1.16,-1.18
166.53,0.50,1.74,0.89,2.11,-2.11,-2.36,-0.79,-1.61,-1.21,-1.24
168.19,0.61,1.89,0.86,2.12,-2.12,-2.34,-0.74,-1.51,-1.26,-1.28
169.87,0.74,2.05,0.86,2.14,-2.14,-2.33,-0.69,-1.40,-1.29,-1.31
171.57,0.88,2.21,0.86,2.18,-2.18,-2.31,-0.65,-1.30,-1.32,-1.33
173.29,1.05,2.39,0.87,2.21,-2.21,-2.29,-0.60,-1.16,-1.34,-1.34
175.02,1.14,2.48,0.89,2.25,-2.25,-2.26,-0.56,-1.11,-1.35,-1.34
176.77,1.14,2.50,0.91,2.28,-2.28,-2.23,-0.51,-1.14,-1.37,-1.36
178.54,1.14,2.51,0.94,2.32,-2.32,-2.20,-0.47,-1.18,-1.38,-1.37
180.32,1.06,2.43,0.96,2.35,-2.35,-2.16,-0.42,-1.29,-1.39,-1.37
182.13,0.96,2.34,0.96,2.37,-2.37,-2.12,-0.38,-1.41,-1.41,-1.38
183.95,0.91,2.30,0.93,2.36,-2.36,-2.08,-0.34,-1.45,-1.42,-1.39
185.79,0.91,2.33,0.87,2.31,-2.31,-2.03,-0.30,-1.40,-1.44,-1.42
187.65,0.75,2.20,0.78,2.24,-2.24,-1.99,-0.25,-1.49,-1.46,-1.45
189.52,0.52,2.00,0.67,2.15,-2.15,-1.93,-0.21,-1.63,-1.48,-1.48
191.42,0.46,1.97,0.55,2.05,-2.05,-1.88,-0.17,-1.59,-1.50,-1.51
193.33,0.46,2.00,0.42,1.95,-1.95,-1.82,-0.13,-1.49,-1.53,-1.54
195.27,0.35,1.91,0.29,1.85,-1.85,-1.76,-0.09,-1.50,-1.56,-1.56
197.22,0.25,1.83,0.16,1.75,-1.75,-1.70,-0.05,-1.50,-1.59,-1.58
199.19,0.09,1.72,0.03,1.64,-1.64,-1.63,-0.02,-1.55,-1.62,-1.63
201.18,-0.14,1.51,-0.10,1.54,-1.54,-1.56,0.02,-1.68,-1.64,-1.65
203.19,-0.27,1.40,-0.24,1.43,-1.43,-1.49,0.06,-1.70,-1.67,-1.67
205.23,-0.40,1.31,-0.38,1.32,-1.32,-1.42,0.10,-1.72,-1.70,-1.71
207.28,-0.54,1.18,-0.51,1.22,-1.22,-1.35,0.13,-1.76,-1.73,-1.72
209.35,-0.65,1.10,-0.63,1.12,-1.12,-1.27,0.17,-1.77,-1.75,-1.75
211.44,-0.81,0.97,-0.74,1.03,-1.03,-1.19,0.20,-1.84,-1.77,-1.78
213.56,-0.90,0.89,-0.87,0.93,-0.93,-1.11,0.24,-1.83,-1.79,-1.79
215.69,-0.91,0.89,-0.99,0.83,-0.83,-1.03,0.27,-1.74,-1.82,-1.81
217.85,-1.12,0.71,-1.09,0.74,-0.74,-0.95,0.30,-1.86,-1.84,-1.83
220.03,-1.23,0.62,-1.19,0.67,-0.67,-0.86,0.33,-1.90,-1.86,-1.85
222.23,-1.33,0.55,-1.28,0.59,-0.59,-0.77,0.36,-1.92,-1.87,-1.88
224.45,-1.37,0.52,-1.36,0.53,-0.53,-0.69,0.39,-1.90,-1.89,-1.89
226.70,-1.37,0.53,-1.44,0.46,-0.46,-0.60,0.42,-1.83,-1.90,-1.90
228.96,-1.52,0.39,-1.52,0.39,-0.39,-0.50,0.45,-1.91,-1.92,-1.91
231.25,-1.58,0.34,-1.60,0.33,-0.33,-0.41,0.48,-1.91,-1.93,-1.92
233.57,-1.63,0.31,-1.66,0.27,-0.27,-0.32,0.50,-1.90,-1.93,-1.94
235.90,-1.81,0.14,-1.73,0.21,-0.21,-0.22,0.53,-2.02,-1.94,-1.95
238.26,-1.82,0.13,-1.80,0.15,-0.15,-0.12,0.55,-1.97,-1.95,-1.95
240.64,-1.82,0.14,-1.87,0.08,-0.08,-0.03,0.57,-1.90,-1.95,-1.96
243.05,-1.98,-0.03,-1.95,0.00,-0.00,0.07,0.59,-1.98,-1.95,-1.95
245.48,-2.05,-0.09,-2.04,-0.08,0.08,0.18,0.61,-1.97,-1.96,-1.96
247.93,-2.05,-0.10,-2.12,-0.16,0.16,0.28,0.63,-1.89,-1.96,-1.95
250.41,-2.24,-0.28,-2.21,-0.25,0.25,0.38,0.64,-1.99,-1.95,-1.96
252.92,-2.28,-0.33,-2.30,-0.35,0.35,0.49,0.66,-1.93,-1.95,-1.95
255.45,-2.28,-0.35,-2.39,-0.44,0.44,0.59,0.67,-1.84,-1.95,-1.93
258.00,-2.42,-0.49,-2.49,-0.55,0.55,0.70,0.69,-1.87,-1.94,-1.93
260.58,-2.65,-0.72,-2.60,-0.67,0.67,0.80,0.70,-1.98,-1.93,-1.93
263.19,-2.74,-0.82,-2.70,-0.78,0.78,0.91,0.71,-1.96,-1.92,-1.92
265.82,-2.94,-1.02,-2.81,-0.90,0.90,1.02,0.72,-2.04,-1.91,-1.92
268.48,-2.96,-1.06,-2.93,-1.03,1.03,1.13,0.73,-1.93,-1.90,-1.90
271.16,-2.96,-1.07,-3.05,-1.16,1.16,1.24,0.74,-1.80,-1.89,-1.89
273.87,-3.05,-1.17,-3.17,-1.30,1.30,1.35,0.74,-1.75,-1.87,-1.88
276.61,-3.30,-1.45,-3.29,-1.44,1.44,1.46,0.75,-1.86,-1.85,-1.85
279.38,-3.40,-1.56,-3.40,-1.57,1.57,1.57,0.76,-1.83,-1.83,-1.84
282.17,-3.59,-1.78,-3.51,-1.70,1.70,1.68,0.76,-1.89,-1.81,-1.81
284.99,-3.65,-1.86,-3.61,-1.82,1.82,1.79,0.77,-1.83,-1.79,-1.79
287.84,-3.65,-1.88,-3.70,-1.93,1.93,1.89,0.77,-1.72,-1.76,-1.77
290.72,-3.72,-1.99,-3.78,-2.05,2.05,2.00,0.78,-1.67,-1.74,-1.74
293.63,-3.97,-2.26,-3.88,-2.16,2.16,2.10,0.78,-1.81,-1.71,-1.71
296.57,-4.09,-2.40,-3.97,-2.28,2.28,2.20,0.78,-1.81,-1.69,-1.69
299.53,-4.10,-2.44,-4.06,-2.39,2.39,2.30,0.79,-1.71,-1.67,-1.66
302.53,-4.10,-2.45,-4.14,-2.49,2.49,2.40,0.79,-1.61,-1.65,-1.65
305.55,-4.10,-2.48,-4.21,-2.58,2.58,2.49,0.80,-1.52,-1.63,-1.62
308.61,-4.16,-2.56,-4.27,-2.65,2.65,2.58,0.80,-1.51,-1.61,-1.60
311.69,-4.31,-2.72,-4.32,-2.72,2.72,2.66,0.81,-1.59,-1.60,-1.59
314.81,-4.33,-2.77,-4.37,-2.79,2.79,2.74,0.81,-1.54,-1.59,-1.56
317.96,-4.47,-2.90,-4.42,-2.85,2.85,2.82,0.82,-1.62,-1.58,-1.57
321.14,-4.56,-2.99,-4.47,-2.90,2.90,2.88,0.83,-1.66,-1.57,-1.57
324.35,-4.56,-2.99,-4.50,-2.93,2.93,2.95,0.83,-1.63,-1.56,-1.57
327.59,-4.56,-3.00,-4.51,-2.96,2.96,3.00,0.84,-1.60,-1.55,-1.56
330.87,-4.56,-3.01,-4.54,-3.00,3.00,3.05,0.85,-1.56,-1.54,-1.55
334.18,-4.56,-3.01,-4.57,-3.04,3.04,3.09,0.86,-1.52,-1.54,-1.55
337.52,-4.56,-3.02,-4.60,-3.07,3.07,3.12,0.87,-1.49,-1.52,-1.54
340.90,-4.56,-3.04,-4.61,-3.10,3.10,3.15,0.88,-1.46,-1.51,-1.52
344.30,-4.56,-3.05,-4.61,-3.11,3.11,3.16,0.89,-1.45,-1.50,-1.51
347.75,-4.56,-3.07,-4.60,-3.12,3.12,3.17,0.90,-1.44,-1.48,-1.49
351.23,-4.56,-3.09,-4.59,-3.12,3.12,3.17,0.91,-1.44,-1.47,-1.47
